Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Poltronieri, Filippo; Fronteddu, Roberto; Stefanelli, Cesare; Suri, Niranjan; Tortonesi, Mauro; Paulini, Matthew; Milligan, James; ",A secure group communication approach for tactical network environments,2018 International Conference on Military Communications and Information Systems (ICMCIS),,,1-8,2018,IEEE
"Giannelli, Carlo; Poltronieri, Filippo; Stefanelli, Cesare; Tortonesi, Mauro; ",Supporting the development of next-generation fog services,2018 IEEE 23rd International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD),,,1-6,2018,IEEE
"Poltronieri, Filippo; Stefanelli, Cesare; Suri, Niranjan; Tortonesi, Mauro; ",Phileas: A simulation-based approach for the evaluation of value-based fog services,2018 IEEE 23rd International Workshop on Computer Aided Modeling and Design of Communication Links and Networks (CAMAD),,,1-6,2018,IEEE
"Poltronieri, Filippo; Campioni, Lorenzo; Lenzi, Rita; Morelli, Alessandro; Suri, Niranjan; Tortonesi, Mauro; ",Secure multi-domain information sharing in tactical networks,MILCOM 2018-2018 IEEE Military Communications Conference (MILCOM),,,1-6,2018,IEEE
"Suri, Niranjan; Fronteddu, Roberto; Cramer, Eelco; Breedy, Maggie; Marcus, Kelvin; in't Velt, Ronald; Nilsson, Jan; Mantovani, Mattia; Campioni, Lorenzo; Poltronieri, Filippo; ",Experimental evaluation of group communications protocols for tactical data dissemination,MILCOM 2018-2018 IEEE Military Communications Conference (MILCOM),,,133-139,2018,IEEE
"Poltronieri, Filippo; Sadler, Laurel; Benincasa, Giacomo; Gregory, Timothy; Harrell, John M; Metu, Somiya; Moulton, Christine; ",Enabling efficient and interoperable control of IoBT devices in a multi-force environment,MILCOM 2018-2018 IEEE Military Communications Conference (MILCOM),,,757-762,2018,IEEE
"Poltronieri, Filippo; Stefanelli, Cesare; Suri, Niranjan; Tortonesi, Mauro; ",Analyzing and Evaluating Information-Centric and Value-based Fog Service Architectures in Military Environments: The Phileas Simulator,Proceedings of 23rd International Command and Control Research and Technology Symposium (ICCRTS 2018),,,1-12,2018,International Command and Control Institute
"Poltronieri, Filippo; Campioni, Lorenzo; Lenzi, Rita; Mantovani, Mattia; Morelli, Alessandro; Stefanelli, Cesare; Suri, Niranjan; Tortonesi, Mauro; ",Efficient and secure multi-domain information sharing in tactical networks,Proceedings of 23rd International Command and Control Research and Technology Symposium (ICCRTS 2018),,,1-10,2018,International Command and Control Institute
"Alvisi, Stefano; Casellato, Francesco; Franchini, Marco; Govoni, Marco; Luciani, Chiara; Poltronieri, Filippo; Riberto, Giulio; Stefanelli, Cesare; Tortonesi, Mauro; ",Wireless middleware solutions for smart water metering,Sensors,19,8,1853,2019,MDPI
"Pradhan, Manas; Poltronieri, Filippo; Tortonesi, Mauro; ",Generic architecture for edge computing based on SPF for military HADR operations,2019 IEEE 5th World Forum on Internet of Things (WF-IoT),,,225-230,2019,IEEE
"Pradhan, Manas; Poltronieri, Filippo; Tortonesi, Mauro; ",Dynamic resource discovery and management for edge computing based on SPF for HADR operations,2019 International Conference on Military Communications and Information Systems (ICMCIS),,,1-6,2019,IEEE
